"verb_no","dictionary_stem","present_stem","present_stem2","infinitive_stem","japanese_translation","english_translation","verb_type","verb_aspect","deponent_active","deponent_personal"
"4647","utlenić","utlen","utlen","utlenić","酸化する","oxidize","4","aorist","0","0"
"4648","utowarowić","utowarow","utowarow","utowarowić","商品","commodity","4","aorist","0","0"
"4649","utożsamić","utożsam","utożsam","utożsamić","識別するために","to identify","4","aorist","0","0"
"4650","utrudnić","utrudn","utrudn","utrudnić","それを難し​​くする","make it harder","4","aorist","0","0"
"4651","utwardzić","utwardz","utwardz","utwardzić","硬化する","harden","4","aorist","0","0"
"4652","uwewnętrznić","uwewnętrzn","uwewnętrzn","uwewnętrznić","内面化","internalize","4","aorist","0","0"
"4653","uwidocznić","uwidoczn","uwidoczn","uwidocznić","見せる","show","4","aorist","0","0"
"4654","uwiecznić","uwieczn","uwieczn","uwiecznić","不滅化する","immortalize","4","aorist","0","0"
"4655","uwierzytelnić","uwierzyteln","uwierzyteln","uwierzytelnić","認証する","authenticate","4","aorist","0","0"
"4656","uwolnić","uwoln","uwoln","uwolnić","自由","free","4","aorist","0","0"
"4657","uwrażliwić","uwrażliw","uwrażliw","uwrażliwić","感作する","sensitize","4","aorist","0","0"
"4658","uwydatnić","uwydatn","uwydatn","uwydatnić","強調","emphasize","4","aorist","0","0"
"4659","uwypuklić","uwypukl","uwypukl","uwypuklić","ハイライト","highlight","4","aorist","0","0"
"4660","uwzględnić","uwzględn","uwzględn","uwzględnić","考慮に入れる","to take into account","4","aorist","0","0"
"4661","uzależnić","uzależn","uzależn","uzależnić","中毒","addicted","4","aorist","0","0"
"4662","uzasadnić","uzasadn","uzasadn","uzasadnić","正当化する","justify","4","aorist","0","0"
"4663","uzdrowić","uzdrow","uzdrow","uzdrowić","癒し","heal","4","aorist","0","0"
"4664","uzewnętrznić","uzewnętrzn","uzewnętrzn","uzewnętrznić","外部化","externalize","4","aorist","0","0"
"4665","uziemić","uziem","uziem","uziemić","接地","ground","4","aorist","0","0"
"4666","uzmysłowić","uzmysłow","uzmysłow","uzmysłowić","視覚化","visualize","4","aorist","0","0"
"4667","uzupełnić","uzupełn","uzupełn","uzupełnić","詰め替え","refill","4","aorist","0","0"
"4668","ułatwić","ułatw","ułatw","ułatwić","簡単にする","to make easier","4","aorist","0","0"
"4669","uściślić","uściśl","uściśl","uściślić","特定","specify","4","aorist","0","0"
"4670","uśmiercić","uśmierc","uśmierc","uśmiercić","殺すために","to kill","4","aorist","0","0"
"4671","uśrednić","uśredn","uśredn","uśrednić","平均","average","4","aorist","0","0"
"4672","uświadomić","uświadom","uświadom","uświadomić","あなたに気づかせるために","to make you aware","4","aorist","0","0"
"4673","użyźnić","użyźn","użyźn","użyźnić","施肥する","fertilize","4","aorist","0","0"
"4674","wcielić","wciel","wciel","wcielić","組み込む","incorporate","4","aorist","0","0"
"4675","wkurwić","wkurw","wkurw","wkurwić","腹を立てる","piss off","4","aorist","0","0"
"4676","wpienić","wpien","wpien","wpienić","忍び寄る","creep in","4","aorist","0","0"
"4677","wyczulić","wyczul","wyczul","wyczulić","感作する","sensitize","4","aorist","0","0"
"4678","wydalić","wydal","wydal","wydalić","追放","expel","4","aorist","0","0"
"4679","wygłupić","wygłup","wygłup","wygłupić","遊びまわる","fool around","4","aorist","0","0"
"4680","wyjałowić","wyjałow","wyjałow","wyjałowić","滅菌する","sterilize","4","aorist","0","0"
"4681","wyjaśnić","wyjaśn","wyjaśn","wyjaśnić","説明する","to explain","4","aorist","0","0"
"4682","wykoleić","wykole","wykole","wykoleić","脱線する","derail","4","aorist","0","0"
"4683","wykorzenić","wykorzen","wykorzen","wykorzenić","根こそぎ","uproot","4","aorist","0","0"
"4684","wyludnić","wyludn","wyludn","wyludnić","過疎化","depopulate","4","aorist","0","0"
"4685","wynarodowić","wynarodow","wynarodow","wynarodowić","国別化する","to nationalize","4","aorist","0","0"
"4686","wyobrazić","wyobraz","wyobraz","wyobrazić","想像","imagine","4","aorist","0","0"
"4687","wyodrębnić","wyodrębn","wyodrębn","wyodrębnić","エキス","extract","4","aorist","0","0"
"4688","wyolbrzymić","wyolbrzym","wyolbrzym","wyolbrzymić","誇張する","exaggerate","4","aorist","0","0"
"4689","wypogodzić","wypogodz","wypogodz","wypogodzić","明るくする","brighten","4","aorist","0","0"
"4690","wyprzedzić","wyprzedz","wyprzedz","wyprzedzić","追い越し","overtake","4","aorist","0","0"
"4691","wyszczególnić","wyszczególn","wyszczególn","wyszczególnić","特定","specify","4","aorist","0","0"
"4692","wysłowić","wysłow","wysłow","wysłowić","特急","express","4","aorist","0","0"
"4693","wyzwolić","wyzwol","wyzwol","wyzwolić","解き放つ","unleash","4","aorist","0","0"
"4694","wyłonić","wyłon","wyłon","wyłonić","出現する","emerge","4","aorist","0","0"
"4695","wyświetlić","wyświetl","wyświetl","wyświetlić","画面","display","4","aorist","0","0"
"4696","wznowić","wznow","wznow","wznowić","履歴書","resume","4","aorist","0","0"
"4697","zachęcić","zachęc","zachęc","zachęcić","奨励します","encourage","4","aorist","0","0"
"4698","zacietrzewić","zacietrzew","zacietrzew","zacietrzewić","激しい","fierce","4","aorist","0","0"
"4699","zacieśnić","zacieśn","zacieśn","zacieśnić","締める","tighten","4","aorist","0","0"
"4700","zadrzewić","zadrzew","zadrzew","zadrzewić","ツリーアップ","tree up","4","aorist","0","0"
"4701","zagracić","zagrac","zagrac","zagracić","散らかる","clutter","4","aorist","0","0"
"4702","zagęścić","zagęśc","zagęśc","zagęścić","厚くする","thicken","4","aorist","0","0"
"4703","zaiwanić","zaiwan","zaiwan","zaiwanić","インスパイヤ","inspire","4","aorist","0","0"
"4704","zakorzenić","zakorzen","zakorzen","zakorzenić","ルートを取る","take root","4","aorist","0","0"
"4705","zakąsić","zakąs","zakąs","zakąsić","少し食べる","have a bite","4","aorist","0","0"
"4706","zaludnić","zaludn","zaludn","zaludnić","移入する","to populate","4","aorist","0","0"
"4707","zamulić","zamul","zamul","zamulić","沈黙","silt up","4","aorist","0","0"
"4708","zaokrąglić","zaokrągl","zaokrągl","zaokrąglić","円形","round","4","aorist","0","0"
"4709","zapaskudzić","zapaskudz","zapaskudz","zapaskudzić","汚れた","dirty","4","aorist","0","0"
"4710","zapewnić","zapewn","zapewn","zapewnić","確認","ensure","4","aorist","0","0"
"4711","zapętlić","zapętl","zapętl","zapętlić","ループ","loop","4","aorist","0","0"
"4712","zapłodnić","zapłodn","zapłodn","zapłodnić","受精する","to fertilize","4","aorist","0","0"
"4713","zarazić","zaraz","zaraz","zarazić","感染する","infect","4","aorist","0","0"
"4714","zasilić","zasil","zasil","zasilić","パワーアップ","power up","4","aorist","0","0"
"4715","zaspokoić","zaspoko","zaspoko","zaspokoić","満足","satisfy","4","aorist","0","0"
"4716","zawiadomić","zawiadom","zawiadom","zawiadomić","通知する","notify","4","aorist","0","0"
"4717","zaznajomić","zaznajom","zaznajom","zaznajomić","知り合いになる","get acquainted","4","aorist","0","0"
"4718","zazębić","zazęb","zazęb","zazębić","メッシュ","mesh","4","aorist","0","0"
"4719","załatwić","załatw","załatw","załatwić","整える","arrange","4","aorist","0","0"
"4720","zaślubić","zaślub","zaślub","zaślubić","結婚する","marry","4","aorist","0","0"
"4721","zdradzić","zdradz","zdradz","zdradzić","裏切る","to betray","4","aorist","0","0"
"4722","zdrobnić","zdrobn","zdrobn","zdrobnić","減少する","diminish","4","aorist","0","0"
"4723","zestalić","zestal","zestal","zestalić","固化する","solidify","4","aorist","0","0"
"4724","zezwolić","zezwol","zezwol","zezwolić","許可する","allow","4","aorist","0","0"
"4725","zeźlić","zeźl","zeźl","zeźlić","怒る","get angry","4","aorist","0","0"
"4726","zgrubić","zgrub","zgrub","zgrubić","厚くする","thicken","4","aorist","0","0"
"4727","zniechęcić","zniechęc","zniechęc","zniechęcić","落胆させる","discourage","4","aorist","0","0"
"4728","znieczulić","znieczul","znieczul","znieczulić","麻酔をかける","anesthetize","4","aorist","0","0"
"4729","zniekształcić","zniekształc","zniekształc","zniekształcić","歪む","distort","4","aorist","0","0"
"4730","zniesławić","zniesław","zniesław","zniesławić","名誉を毀損","defame","4","aorist","0","0"
"4731","zniewolić","zniewol","zniewol","zniewolić","奴隷","enslave","4","aorist","0","0"
"4732","zobojętnić","zobojętn","zobojętn","zobojętnić","無関心","indifferent","4","aorist","0","0"
"4733","zohydzić","zohydz","zohydz","zohydzić","恥をかかせる","to disgrace","4","aorist","0","0"
"4734","zwolnić","zwoln","zwoln","zwolnić","徐行","slow down","4","aorist","0","0"
"4735","zwęglić","zwęgl","zwęgl","zwęglić","炭化","carbonize","4","aorist","0","0"
"4736","zwęzić","zwęz","zwęz","zwęzić","それを絞り込みます","narrow it down","4","aorist","0","0"
"4737","ściemnić","ściemn","ściemn","ściemnić","暗くする","darken","4","aorist","0","0"
"4738","ścieśnić","ścieśn","ścieśn","ścieśnić","絞る","squeeze","4","aorist","0","0"
"4800","bachnąć","bachnie","bachn","bachnąć","打つ","hit","3","aorist","0","0"
"4801","beknąć","beknie","bekn","beknąć","支払う","to pay","3","aorist","0","0"
"4802","bierzmować","bierzmuje","bierzmuj","bierzmować","確認","confirm","denomitive","aorist","0","0"
"4803","bohatyrnąć","bohatyrnie","bohatyrn","bohatyrnąć","英雄的であること","be heroic","3","aorist","0","0"
"4804","braknąć","braknie","brakn","braknąć","ない","missing","3","aorist","0","0"
"4805","bryknąć","bryknie","brykn","bryknąć","降圧","buck","3","aorist","0","0"
"4806","bryzgnąć","bryzgnie","bryzgn","bryzgnąć","スプラッシュ","splash","3","aorist","0","0"
"4807","bryznąć","bryznie","bryzn","bryznąć","スプラッシュ","splash","3","aorist","0","0"
"4808","brzdąknąć","brzdąknie","brzdąkn","brzdąknąć","踏みにじる","to strumm","3","aorist","0","0"
"4809","brzdęknąć","brzdęknie","brzdękn","brzdęknąć","トゥワン","twang","3","aorist","0","0"
"4810","brzęknąć","brzęknie","brzękn","brzęknąć","チャリンという音","clink","3","aorist","0","0"
"4811","buchnąć","buchnie","buchn","buchnąć","バーストに","to burst","3","aorist","0","0"
"4812","bujnąć","bujnie","bujn","bujnąć","スイング","swing","3","aorist","0","0"
"4813","burknąć","burknie","burkn","burknąć","うなり声","growl","3","aorist","0","0"
"4814","bzyknąć","bzyknie","bzykn","bzyknąć","バズ","buzz","3","aorist","0","0"
"4815","bąknąć","bąknie","bąkn","bąknąć","つぶやく","mumble","3","aorist","0","0"
"4816","bęcnąć","bęcnie","bęcn","bęcnąć","にぎやか","buzzing","3","aorist","0","0"
"4817","błysnąć","błysnie","błysn","błysnąć","点滅する","to flash","3","aorist","0","0"
"4818","capnąć","capnie","capn","capnąć","飛び付きます","snap up","3","aorist","0","0"
"4819","chajtnąć","chajtnie","chajtn","chajtnąć","逃げる","to get away","3","aorist","0","0"
"4820","chapnąć","chapnie","chapn","chapnąć","スナップ","snap","3","aorist","0","0"
"4821","chapsnąć","chapsnie","chapsn","chapsnąć","スナップ","snap","3","aorist","0","0"
"4822","charknąć","charknie","charkn","charknąć","唸る","snarl","3","aorist","0","0"
"4823","chlapnąć","chlapnie","chlapn","chlapnąć","スプラッシュ","splash","3","aorist","0","0"
"4824","chlasnąć","chlasnie","chlasn","chlasnąć","ヒュッと振る","swish","3","aorist","0","0"
"4825","chlipnąć","chlipnie","chlipn","chlipnąć","スプラッシュ","splash","3","aorist","0","0"
"4826","chlupnąć","chlupnie","chlupn","chlupnąć","スプラッシュ","splash","3","aorist","0","0"
"4827","chlusnąć","chlusnie","chlusn","chlusnąć","注ぎ口","spout","3","aorist","0","0"
"4828","chrobotnąć","chrobotnie","chrobotn","chrobotnąć","スクラッチ","scratch","3","aorist","0","0"
"4829","chrumknąć","chrumknie","chrumkn","chrumknąć","うなり声","grunt","3","aorist","0","0"
"4830","chrząknąć","chrząknie","chrząkn","chrząknąć","うなり声","grunt","3","aorist","0","0"
"4831","chuchnąć","chuchnie","chuchn","chuchnąć","息","breathe","3","aorist","0","0"
"4832","chwycić","chwyc","chwyci","chwycić","掴む","grab","4","aorist","0","0"
"4833","chybić","chyb","chybi","chybić","お嬢","miss","4","aorist","0","0"
"4834","chłosnąć","chłosnie","chłosn","chłosnąć","ラッシュ","lash","3","aorist","0","0"
"4835","ciapnąć","ciapnie","ciapn","ciapnąć","絞る","to squeeze","3","aorist","0","0"
"4836","cisnąć","cisnie","cisn","cisnąć","発売","launch","3","aorist","0","0"
"4837","ciuknąć","ciuknie","ciukn","ciuknąć","くすぐる","tickle","3","aorist","0","0"
"4838","cmoknąć","cmoknie","cmokn","cmoknąć","クラック","cluck","3","aorist","0","0"
"4839","cofnąć","cofnie","cofn","cofnąć","元に戻す","undo","3","aorist","0","0"
"4840","cyknąć","cyknie","cykn","cyknąć","くすぐる","tickle","3","aorist","0","0"
"4841","czmychnąć","czmychnie","czmychn","czmychnąć","エスケープ","escape","3","aorist","0","0"
"4842","darować","daruje","daruj","darować","寄付","donate","denomitive","aorist","0","0"
"4843","dać","d","d","dać","与えるために","to give","1","aorist","0","0"
"4844","dmuchnąć","dmuchnie","dmuchn","dmuchnąć","吹く","to blow","3","aorist","0","0"
"4845","dobić","dob","dobi","dobić","終えます","finish off","4","aorist","0","0"
"4846","dobrać","dobr","dobr","dobrać","選ぶ","choose","1","aorist","0","0"
"4847","dobrnąć","dobrnie","dobrn","dobrnąć","到着","reach","3","aorist","0","0"
"4848","dobudować","dobuduje","dobuduj","dobudować","建てる","build","denomitive","aorist","0","0"
"4849","dobyć","doby","dob","dobyć","テイクアウト","take out","4y","aorist","0","0"
"4850","docenić","docen","doceni","docenić","感謝","appreciate","4","aorist","0","0"
"4851","dochować","dochuje","dochuj","dochować","保つ","to keep","denomitive","aorist","0","0"
"4852","docisnąć","docisnie","docisn","docisnąć","押す","press down","3","aorist","0","0"
"4853","dociągnąć","dociągnie","dociągn","dociągnąć","締める","tighten","3","aorist","0","0"
"4854","dociąć","docinie","docin","dociąć","切る","cut","3","aorist","0","0"
"4855","doczekać","doczek","doczek","doczekać","待つ","wait","1","aorist","0","0"
"4856","doczepić","doczep","doczepi","doczepić","添付","attach","4","aorist","0","0"
"4857","doczołgać","doczołg","doczołg","doczołgać","クロール","crawl","1","aorist","0","0"
"4858","dodać","dod","dod","dodać","追加","add","1","aorist","0","0"
"4859","dodzwonić","dodzwon","dodzwoni","dodzwonić","呼び出し","calling","4","aorist","0","0"
"4860","dogadać","dogad","dogad","dogadać","やっていく","get along","1","aorist","0","0"
"4861","dognać","dogn","dogn","dognać","追いつく","catch up","1","aorist","0","0"
"4862","dogodzić","dogodz","dogodzi","dogodzić","お願いします","please","4","aorist","0","0"
"4863","dogonić","dogon","dogoni","dogonić","追いつく","catch up","4","aorist","0","0"
"4864","dogotować","dogotuje","dogotuj","dogotować","それを調理する","cook it","denomitive","aorist","0","0"
"4865","dogrzać","dogrz","dogrz","dogrzać","暖かい","warm","1","aorist","0","0"
"4866","doigrać","doigr","doigr","doigrać","追いつく","catch up","1","aorist","0","0"
"4867","dojebać","dojeb","dojeb","dojebać","性交する","to fuck","1","aorist","0","0"
"4868","dojechać","dojech","dojech","dojechać","そこに着くために","to get there","1","aorist","0","0"
"4869","dojrzeć","dojrzej","dojrzej","dojrzeć","成熟した","mature","2","aorist","0","0"
"4870","dokarmić","dokarm","dokarmi","dokarmić","餌","feed","4","aorist","0","0"
"4871","dokazać","dokaz","dokaz","dokazać","再生する","to play","1","aorist","0","0"
"4872","dokleić","dokle","doklei","dokleić","棒","stick","4","aorist","0","0"
"4873","dokonać","dokon","dokon","dokonać","作る","make","1","aorist","0","0"
"4874","dokooptować","dokooptuje","dokooptuj","dokooptować","co-opt","co-opt","denomitive","aorist","0","0"
"4875","dokopać","dokop","dokop","dokopać","掘り出す","dig up","1","aorist","0","0"
"4876","dokończyć","dokończy","dokończ","dokończyć","終わる","to finish","4y","aorist","0","0"
"4877","dokuczyć","dokuczy","dokucz","dokuczyć","からかう","tease","4y","aorist","0","0"
"4878","dolać","dol","dol","dolać","追加","add","1","aorist","0","0"
"4879","dolecieć","doleciej","doleciej","dolecieć","飛ぶ","fly","2","aorist","0","0"
"4880","dolepić","dolep","dolepi","dolepić","固執する","stick on","4","aorist","0","0"
"4881","doliczyć","doliczy","dolicz","doliczyć","合計","add up","4y","aorist","0","0"
"4882","domknąć","domknie","domkn","domknąć","近い","close","3","aorist","0","0"
"4883","domyć","domy","dom","domyć","洗う","wash","4y","aorist","0","0"
"4884","domyślić","domyśl","domyśli","domyślić","推測してみて","guess","4","aorist","0","0"
"4885","donosić","donos","donosi","donosić","報告","report","4","aorist","0","0"
"4886","dookreślić","dookreśl","dookreśli","dookreślić","特定","specify","4","aorist","0","0"
"4887","dopchać","dopch","dopch","dopchać","詰め込む","cram","1","aorist","0","0"
"4888","dopchnąć","dopchnie","dopchn","dopchnąć","詰め込む","cram","3","aorist","0","0"
"4889","dopełnić","dopełn","dopełni","dopełnić","化粧","make up","4","aorist","0","0"
"4890","dopełznąć","dopełznie","dopełzn","dopełznąć","這う","crawl up","3","aorist","0","0"
"4891","dopierdolić","dopierdol","dopierdoli","dopierdolić","くそ","fuck","4","aorist","0","0"
"4892","dopieścić","dopieśc","dopieści","dopieścić","甘やかす","pamper","4","aorist","0","0"
"4893","dopisać","dopis","dopis","dopisać","追加","add","1","aorist","0","0"
"4894","dopiąć","dopinie","dopin","dopiąć","固定する","fasten","3","aorist","0","0"
"4895","dopomnieć","dopomniej","dopomniej","dopomnieć","思い出させる","remind","2","aorist","0","0"
"4896","dopracować","dopracuje","dopracuj","dopracować","洗練する","to refine","denomitive","aorist","0","0"
"4897","doprawić","dopraw","doprawi","doprawić","シーズン","season","4","aorist","0","0"
"4898","doprać","dopr","dopr","doprać","洗い終える","finish washing","1","aorist","0","0"
"4899","doprosić","dopros","doprosi","doprosić","勧誘する","solicit","4","aorist","0","0"
"4900","doprowadzić","doprowadz","doprowadzi","doprowadzić","リード","lead","4","aorist","0","0"
"4901","dopuścić","dopuśc","dopuści","dopuścić","許可する","allow","4","aorist","0","0"
"4902","dopędzić","dopędz","dopędzi","dopędzić","追いつく","catch up","4","aorist","0","0"
"4903","dopłacić","dopłac","dopłaci","dopłacić","追加料金を支払う","pay extra","4","aorist","0","0"
"4904","dopłynąć","dopłynie","dopłyn","dopłynąć","泳ぐ","swim","3","aorist","0","0"
"4905","doradzić","doradz","doradzi","doradzić","アドバイス","advise","4","aorist","0","0"
"4906","dorobić","dorob","dorobi","dorobić","余分に作る","make some extra","4","aorist","0","0"
"4907","dorosnąć","dorosnie","dorosn","dorosnąć","成長する","grow up","3","aorist","0","0"
"4908","dorwać","dorw","dorw","dorwać","取得するため","to get","1","aorist","0","0"
"4909","dorzucić","dorzuc","dorzuci","dorzucić","投げ入れる","throw in","4","aorist","0","0"
"4910","dorównać","dorówn","dorówn","dorównać","マッチ","match","1","aorist","0","0"
"4911","doręczyć","doręczy","doręcz","doręczyć","配達","deliver","4y","aorist","0","0"
"4912","dosięgnąć","dosięgnie","dosięgn","dosięgnąć","到着","reach","3","aorist","0","0"
"4913","doskoczyć","doskoczy","doskocz","doskoczyć","跳ね上がる","jump up","4y","aorist","0","0"
"4914","dosolić","dosol","dosoli","dosolić","刺す","sting","4","aorist","0","0"
"4915","dospać","dosp","dosp","dospać","寝る","sleep","1","aorist","0","0"
"4916","dosrać","dosr","dosr","dosrać","調整","adjust","1","aorist","0","0"
"4917","dostarczyć","dostarczy","dostarcz","dostarczyć","配達","deliver","4y","aorist","0","0"
"4918","dostać","dost","dost","dostać","受け取る","to receive","1","aorist","0","0"
"4919","dostosować","dostosuje","dostosuj","dostosować","調整","adjust","denomitive","aorist","0","0"
"4920","dostroić","dostro","dostroi","dostroić","調整","adjust","4","aorist","0","0"
"4921","dostąpić","dostąp","dostąpi","dostąpić","アクセス","access","4","aorist","0","0"
"4922","doszkolić","doszkol","doszkoli","doszkolić","訓練する","to train","4","aorist","0","0"
"4923","doszlifować","doszlifuje","doszlifuj","doszlifować","挽く","grind","denomitive","aorist","0","0"
"4924","doszukać","doszuk","doszuk","doszukać","探す","find","1","aorist","0","0"
"4925","doszyć","doszy","dosz","doszyć","追加","add","4y","aorist","0","0"
"4926","dosłuchać","dosłuch","dosłuch","dosłuchać","聞く","listen","1","aorist","0","0"
"4927","dosłyszeć","dosłyszej","dosłyszej","dosłyszeć","聞く","hear","2","aorist","0","0"
"4928","dotknąć","dotknie","dotkn","dotknąć","接する","touch","3","aorist","0","0"
"4929","dotoczyć","dotoczy","dotocz","dotoczyć","転がる","roll over","4y","aorist","0","0"
"4930","dotrwać","dotrw","dotrw","dotrwać","過去","last","1","aorist","0","0"
"4931","dotrzeć","dotrzej","dotrzej","dotrzeć","到着","arrive","2","aorist","0","0"
"4932","dotrzymać","dotrzym","dotrzym","dotrzymać","保つ","keep","1","aorist","0","0"
"4933","douczyć","douczy","doucz","douczyć","教育する","educate","4y","aorist","0","0"
"4934","dowalić","dowal","dowali","dowalić","壊す","break down","4","aorist","0","0"
"4935","dowartościować","dowartościuje","dowartościuj","dowartościować","感謝","appreciate","denomitive","aorist","0","0"
"4936","dowiedzieć","dowiedziej","dowiedziej","dowiedzieć","探し出す","find out","2","aorist","0","0"
"4937","dozbroić","dozbro","dozbroi","dozbroić","リアームする","to rearm","4","aorist","0","0"
"4938","doznać","dozn","dozn","doznać","経験","experience","1","aorist","0","0"
"4939","doładować","doładuje","doładuj","doładować","再充電","recharge","denomitive","aorist","0","0"
"4940","dołożyć","dołoży","dołoż","dołożyć","追加","add","4y","aorist","0","0"
"4941","dołączyć","dołączy","dołącz","dołączyć","加入","join","4y","aorist","0","0"
"4942","doścignąć","doścignie","doścign","doścignąć","追いつく","catch up","3","aorist","0","0"
"4943","doświadczyć","doświadczy","doświadcz","doświadczyć","経験","experience","4y","aorist","0","0"
"4944","dożyć","doży","doż","dożyć","住む","live","4y","aorist","0","0"
"4945","drasnąć","drasnie","drasn","drasnąć","スクラッチ","scratch","3","aorist","0","0"
"4946","drgnąć","drgnie","drgn","drgnąć","バッジ","budge","3","aorist","0","0"
"4947","dygnąć","dygnie","dygn","dygnąć","curtsey","curtsey","3","aorist","0","0"
"4948","dziabnąć","dziabnie","dziabn","dziabnąć","雌犬","bitch","3","aorist","0","0"
"4949","dźgnąć","dźgnie","dźgn","dźgnąć","刺す","to stab","3","aorist","0","0"
"4950","dźwignąć","dźwignie","dźwign","dźwignąć","リフト","lift","3","aorist","0","0"
"4951","fiknąć","fiknie","fikn","fiknąć","偽","fake","3","aorist","0","0"
"4952","frunąć","frunie","frun","frunąć","飛ぶ","fly","3","aorist","0","0"
"4953","fuknąć","fuknie","fukn","fuknąć","スナップ","snap","3","aorist","0","0"
"4954","gdaknąć","gdaknie","gdakn","gdaknąć","クラック","cluck","3","aorist","0","0"
"4955","gichnąć","gichnie","gichn","gichnąć","死ぬ","to die","3","aorist","0","0"
"4956","gruchnąć","gruchnie","gruchn","gruchnąć","クラッシュする","to crash","3","aorist","0","0"
"4957","grzmotnąć","grzmotnie","grzmotn","grzmotnąć","咆哮","roar","3","aorist","0","0"
"4958","gwizdnąć","gwizdnie","gwizdn","gwizdnąć","ウィズ","whiz","3","aorist","0","0"
"4959","głasnąć","głasnie","głasn","głasnąć","ペット","pet","3","aorist","0","0"
"4960","haratnąć","haratnie","haratn","haratnąć","叩く","whack","3","aorist","0","0"
"4961","huknąć","huknie","hukn","huknąć","バン","bang","3","aorist","0","0"
"4962","jawić","jaw","jawi","jawić","明らかな","reveal","4","aorist","0","0"
"4963","jebnąć","jebnie","jebn","jebnąć","くそ","fuck","3","aorist","0","0"
"4964","jąć","jnie","jn","jąć","食べる","eat","3","aorist","0","0"
"4965","jęknąć","jęknie","jękn","jęknąć","うめき声","groan","3","aorist","0","0"
"4966","kapnąć","kapnie","kapn","kapnąć","滴下","drip","3","aorist","0","0"
"4967","karnąć","karnie","karn","karnąć","罰する","punish","3","aorist","0","0"
"4968","kaszlnąć","kaszlnie","kaszln","kaszlnąć","咳","cough","3","aorist","0","0"
"4969","kazać","kaz","kaz","kazać","説教","preach","1","aorist","0","0"
"4970","kichnąć","kichnie","kichn","kichnąć","くしゃみ","sneeze","3","aorist","0","0"
"4971","kicnąć","kicnie","kicn","kicnąć","ホップ","hop","3","aorist","0","0"
"4972","kiwnąć","kiwnie","kiwn","kiwnąć","うなずく","nod","3","aorist","0","0"
"4973","klapnąć","klapnie","klapn","klapnąć","ふっくら","plump","3","aorist","0","0"
"4974","klasnąć","klasnie","klasn","klasnąć","拍手","clap","3","aorist","0","0"
"4975","klepać","klep","klep","klepać","拍手","clap","1","aorist","0","0"
"4976","klepnąć","klepnie","klepn","klepnąć","平手打ち","slap","3","aorist","0","0"
"4977","kliknąć","kliknie","klikn","kliknąć","クリック","click","3","aorist","0","0"
"4978","kojfnąć","kojfnie","kojfn","kojfnąć","落ち着け","calm down","3","aorist","0","0"
"4979","kopnąć","kopnie","kopn","kopnąć","蹴る","kick","3","aorist","0","0"
"4980","kopsnąć","kopsnie","kopsn","kopsnąć","蹴る","kick","3","aorist","0","0"
"4981","krzyknąć","krzyknie","krzykn","krzyknąć","叫ぶ","cry out","3","aorist","0","0"
"4982","kucnąć","kucnie","kucn","kucnąć","スクワット","squat","3","aorist","0","0"
"4983","kupić","kup","kupi","kupić","買う","to buy","4","aorist","0","0"
"4984","kwaknąć","kwaknie","kwakn","kwaknąć","震える","to quack","3","aorist","0","0"
"4985","kwiknąć","kwiknie","kwikn","kwiknąć","鳴き声","squeal","3","aorist","0","0"
"4986","kwoknąć","kwoknie","kwokn","kwoknąć","鳴き声","croak","3","aorist","0","0"
"4987","kłapnąć","kłapnie","kłapn","kłapnąć","ふっくら","plump","3","aorist","0","0"
"4988","lajsnąć","lajsnie","lajsn","lajsnąć","平手打ち","slap","3","aorist","0","0"
"4989","legnąć","legnie","legn","legnąć","横になります","to lie down","3","aorist","0","0"
"4990","liznąć","liznie","lizn","liznąć","なめる","lick","3","aorist","0","0"
"4991","lunąć","lunie","lun","lunąć","ラッシュダウン","lash down","3","aorist","0","0"
"4992","machnąć","machnie","machn","machnąć","波","wave","3","aorist","0","0"
"4993","maznąć","maznie","mazn","maznąć","塗抹標本","smear","3","aorist","0","0"
"4994","merdnąć","merdnie","merdn","merdnąć","振る","to wag","3","aorist","0","0"
"4995","miauknąć","miauknie","miaukn","miauknąć","鳴く","to meow","3","aorist","0","0"
"4996","minąć","minie","min","minąć","合格","pass","3","aorist","0","0"
"4997","mlasnąć","mlasnie","mlasn","mlasnąć","クリック","click","3","aorist","0","0"
"4998","mrugnąć","mrugnie","mrugn","mrugnąć","ウィンク","wink","3","aorist","0","0"
"4999","mruknąć","mruknie","mrukn","mruknąć","パー","purr","3","aorist","0","0"
"5000","musnąć","musnie","musn","musnąć","こする","graze","3","aorist","0","0"
"5001","nabawić","nabaw","nabawi","nabawić","取得する","acquire","4","aorist","0","0"
"5002","nabazgrać","nabazgr","nabazgr","nabazgrać","調合","concoct","1","aorist","0","0"
"5003","nabazgrolić","nabazgrol","nabazgroli","nabazgrolić","走り書き","scribble","4","aorist","0","0"
"5004","nabić","nab","nabi","nabić","タンプ","tamp","4","aorist","0","0"
"5005","nabrać","nabr","nabr","nabrać","引き受ける","take on","1","aorist","0","0"
"5006","nabyć","naby","nab","nabyć","取得する","acquire","4y","aorist","0","0"
"5007","nabzdryngolić","nabzdryngol","nabzdryngoli","nabzdryngolić","振る","shake","4","aorist","0","0"
"5008","nabzdyczyć","nabzdyczy","nabzdycz","nabzdyczyć","うねり","swell","4y","aorist","0","0"
"5009","nacechować","nacechuje","nacechuj","nacechować","特徴づける","characterize","denomitive","aorist","0","0"
